"","Date","GR_03_07","IDs"
"1","2017-12-10",11.380782370003,"Neg2,Pos2"
"2","2017-12-11",3.67446884448921,"Pos3"
"3","2017-12-13",4.3261055001989,"Pos5"
"4","2017-12-14",4.3261055001989,"Pos5"
"5","2017-12-16",16.0401610019258,"Neg6"
"6","2017-12-20",4.40394359295118,"Neg7"
"7","2017-12-24",3.18481914710389,"Neg9"
"8","2018-01-01",1.87528874729434,"Neg10,Pos10"
"9","2018-01-06",8.95512593104716,"Neg14,Pos14"
"10","2018-01-26",12.8482510226136,"Neg15"
"11","2018-02-18",0.583906235673104,"Neg16,Pos16"
"12","2018-02-19",10.5974148520672,"Pos17"
"13","2018-02-20",2.77626094888845,"Neg18,Pos17,Pos18"
"14","2018-02-27",17.0296086802707,"Pos19"
"15","2018-03-29",5.8431354333286,"Neg21,Pos21"
"16","2018-03-30",13.1562023094561,"Neg24"
"17","2018-03-31",13.1562023094561,"Neg24,Neg25,Pos25"
"18","2018-04-02",6.57028268030262,"Neg29,Pos29"
"19","2018-04-04",4.25675149220314,"Neg33"
"20","2018-04-05",4.25675149220314,"Neg33,Neg34,Neg35,Neg36,Pos36"
"21","2018-04-06",6.17893760108182,"Neg36,Neg38,Pos36,Pos38"
"22","2018-04-07",5.34734350082596,"Neg39,Pos39"
"23","2018-04-08",13.7175443578252,"Neg40,Pos40"
"24","2018-04-11",4.22613811493026,"Neg42,Pos42"
"25","2018-04-12",4.22613811493026,"Neg42,Pos42"
"26","2018-04-15",2.89235196255719,"Neg45,Pos45"
"27","2018-04-16",3.79870396115737,"Neg45,Neg47,Neg48,Pos45,Pos47,Pos48"
"28","2018-04-17",4.12643830134236,"Neg47,Neg48,Neg49,Neg51,Pos47,Pos48"
"29","2018-04-18",2.67752931242072,"Neg51"
"30","2018-04-19",1.8289354162274,"Neg53"
"31","2018-04-20",3.39933546401974,"Neg57,Pos55,Pos57"
"32","2018-04-21",2.91360309362337,"Neg57,Neg59,Pos57,Pos59"
"33","2018-04-22",12.0979111640668,"Neg60,Pos60"
"34","2018-04-29",2.34708741275922,"Neg61,Pos61"
"35","2018-04-30",8.13555949310764,"Neg62,Pos62"
"36","2018-05-02",13.5232958488569,"Pos63"
"37","2018-05-03",5.6446661237282,"Neg64,Pos64"
"38","2018-05-05",7.16525484614856,"Neg67,Pos67"
"39","2018-05-06",7.16525484614856,"Neg67,Pos67"
"40","2018-05-07",4.93069865526954,"Neg70"
"41","2018-05-08",4.93069865526954,"Neg70"
"42","2018-05-10",21.9775493990786,"Neg71"
"43","2018-05-12",6.30032013703572,"Neg74,Pos74"
"44","2018-05-13",1.10549361315179,"Neg76,Pos76"
"45","2018-05-14",1.93040796267516,"Neg77,Pos77"
"46","2018-05-15",3.77310600285952,"Neg78"
"47","2018-05-16",6.82877726853052,"Neg79,Pos79"
"48","2018-05-17",6.89870847603352,"Neg79,Neg80"
"49","2018-05-18",12.593072305255,"Neg83"
"50","2018-05-19",3.88738910275882,"Neg84,Pos84"
"51","2018-05-20",7.06369518896675,"Neg85,Pos85"
"52","2018-05-21",7.41517640442952,"Neg86"
"53","2018-05-24",3.77208410506182,"Neg90"
"54","2018-05-25",5.73143981074752,"Neg93,Pos93"
"55","2018-05-26",4.31188220333757,"Neg93,Neg96,Pos93,Pos96"
"56","2018-05-27",4.99062943512843,"Neg99,Pos99"
"57","2018-05-28",7.1136787499583,"Neg100,Neg101,Neg102,Pos100,Pos101,Pos102"
"58","2018-05-29",4.09316832043083,"Neg103"
"59","2018-05-30",8.78080477143907,"Neg105,Neg106,Neg107,Pos105,Pos106,Pos107"
"60","2018-05-31",4.51756183704549,"Neg109,Neg110,Pos109,Pos110"
